gene0	NDEL1
gene9069	RNF146
gene9070	Rspo3
gene9071	POR
gene9072	TMEM120A
gene9073	STYXL1
gene9074	Mdh2
gene9075	HS3ST1
gene9076	DIP2B
gene9077	ATF1
gene9078	TMPRSS12
gene9079	Ptgs1
gene9080	PDCL
gene9081	RC3H2
gene9082	ZBTB26
gene9083	Rabgap1
gene9084	GPR21
gene9085	Srst
gene9086	L345_09088
gene9087	Srst
gene9088	L345_09089
gene9089	Nrxn2
gene9090	rasgrp2-a
gene9091	PYGM
gene9092	SF1
gene9093	L345_09094
gene9094	SCN8A
gene9095	METTL7A
gene9096	LTV1
gene9097	L345_09098
gene9098	SF3B5
gene9099	STX11
gene9100	UTRN
gene9101	UTRN
gene9102	DOK6
gene9103	Cd226
gene9104	Rttn
gene9105	RTTN
gene9106	RTTN
gene9107	RTTN
gene9108	RTTN
gene9109	RTTN
gene9110	SOCS6
gene9111	CD47
gene9112	IFT57
gene9113	Myh6
gene9114	ZNF541
gene9115	ZNF541
gene9116	L345_09122
gene9117	ZNF541
gene9118	ZNF541
gene9119	ZBED1
gene9120	Napa
gene9121	KPTN
gene9122	HMGN5
gene9123	RSP40
gene9124	SLC8A2
gene9125	TC2N
gene9126	FBLN5
gene9127	L345_09128
gene9128	L345_09131
gene9129	Rnf20
gene9130	POLG
gene9131	FANCI
gene9132	RLBP1
gene9133	ABHD2
gene9134	Ppp3ca
gene9135	L345_09136
gene9136	CFI
gene9137	L345_09142
gene9138	gar1
gene9139	LRIT3
gene9140	EGF
gene9141	ELOVL6
gene9142	ENPEP
gene9143	PITX2
gene9144	PITX2
gene9145	L345_09141
gene9146	PITX2
gene9147	STK33
gene9148	FMO3
gene9149	Fmo5
gene9150	PRRX1
gene9151	TDRD7
gene9152	Tmod1
gene9153	TSTD2
gene9154	L345_09158
gene9155	L345_09157
gene9156	Tstd2
gene9157	NCBP1
gene9158	NR5A2
gene9159	ZNF281
gene9160	L345_09161
gene9161	L345_09162
gene9162	L345_09163
gene9163	L345_09165
gene9164	SLC4A1AP
gene9165	L345_09166
gene9166	SUPT7L
gene9167	L345_09168
gene9168	CKMT2
gene9169	ZCCHC9
gene9170	ACOT12
gene9171	SSBP2
gene9172	MEOX2
gene9173	L345_09174
gene9174	Sec22b
gene9175	ALOX5
gene9176	METTL15
gene9177	KIF18A
gene9178	L345_09181
gene9179	Xirp1
gene9180	L345_09180
gene9181	SLC22A13
gene9182	SLC22A13
gene9183	L345_09184
gene9184	USP25
gene9185	TOMM20
gene9186	ARID4B
gene9187	L345_09188
gene9188	PUM1
gene9189	NKAIN1
gene9190	Snrnp40
gene9191	SNRNP40
gene9192	Zcchc17
gene9193	FABP3
gene9194	Serinc2
gene9195	SNRPE
gene9196	ZC3H11A
gene9197	ATP2B4
gene9198	PLA2G15
gene9199	LTB4R
gene9200	pab
gene9201	esrp2
gene9202	NFATC3
gene9203	CDH12
gene9204	PPP1R3B
gene9205	ERI1
gene9206	mfhas1
gene9207	LRP4
gene9208	sco2
gene9209	LMF2
gene9210	TCHH
gene9211	Miox
gene9212	MIOX
gene9213	L345_09217
gene9214	PXR1
gene9215	GOLGB1
gene9216	CTTN1
gene9217	L345_09220
gene9218	L345_09219
gene9219	SPRY2
gene9220	thra-a
gene9221	L345_09222
gene9222	KCND3
gene9223	CTTNBP2NL
gene9224	KDSR
gene9225	VPS4B
gene9226	Serpinb5
gene9227	L345_09227
gene9228	SERPINB3
gene9229	L345_09230
gene9230	L345_09232
gene9231	L345_09231
gene9232	RPP30
gene9233	ANKRD1
gene9234	PCGF5
gene9235	HECTD2
gene9236	PPP1R3C
gene9237	TNKS2
gene9238	FGFBP3
gene9239	drd1c
gene9240	SERTAD4
gene9241	Cdkal1
gene9242	L345_09242
gene9243	LAMB4
gene9244	L345_09246
gene9245	IL22RA1
gene9246	Srst
gene9247	LDB3
gene9248	EPHA4
gene9249	epha4-b
gene9250	L345_09251
gene9251	Iqca1
gene9252	Gbx2
gene9253	AGAP1
gene9254	L345_09258
gene9255	STARD6
gene9256	POLI
gene9257	MBD2
gene9258	Rbm25
gene9259	CECR5
gene9260	Rab43
gene9261	Gp9
gene9262	CCDC48
gene9263	L345_09261
gene9264	TGM4
gene9265	Zdhhc3
gene9266	L345_09267
gene9267	GPR176
gene9268	FSIP1
gene9269	THBS1
gene9270	L345_09271
gene9271	Mdga1
gene9272	MDGA1
gene9273	L345_09275
gene9274	L345_09276
gene9275	Fbxl2
gene9276	L345_09277
gene9277	OCA2
gene9278	CDH4
gene9279	CDH4
gene9280	CYP27B1
gene9281	Mettl1
gene9282	L345_09283
gene9283	Kif20a
gene9284	Lyn
gene9285	Tgs1
gene9286	TMEM68
gene9287	FAM18B1
gene9288	FBXW10
gene9289	TDRD3
gene9290	L345_09291
gene9291	NAV1
gene9292	NAV1
gene9293	Nav3
gene9294	GRM8
gene9295	Rpgrip1
gene9296	Rbm25
gene9297	L345_09301
gene9298	HMGN5
gene9299	SLC24A1
gene9300	ADCYAP1R1
gene9301	ADCYAP1R1
gene9302	CYLC2
gene9303	L345_09304
gene9304	Efr3b
gene9305	SLC17A6
gene9306	Dsp
gene9307	Gpr124
gene9308	L345_09309
gene9309	PPFIA2
gene9310	SLC35B2
gene9311	HSP90AB1
gene9312	SLC29A1
gene9313	Golga3
gene9314	L345_09312
gene9315	Kcnj15
gene9316	B19.4
gene9317	ZC3H13
gene9318	L345_09320
gene9319	GARP
gene9320	RH42
gene9321	L345_09328
gene9322	L345_09325
gene9323	NST1
gene9324	Srst
gene9325	DBC1
gene9326	DBC1
gene9327	Srst
gene9328	infB
gene9329	Stk35
gene9330	DIAPH2
gene9331	DIAPH2
gene9332	DAG1
gene9333	L345_09339
gene9334	FGFR1OP2
gene9335	Tm7sf3
gene9336	MED21
gene9337	PLA2G16
gene9338	ZC3H13
gene9339	STK38L
gene9340	ARNTL2
gene9341	GPR123
gene9342	L345_09343
gene9343	Nr2f1
gene9344	L345_09345
gene9345	PAQR3
gene9346	L345_09347
gene9347	BMP2K
gene9348	ZHX2
gene9349	DERL1
gene9350	L345_09352
gene9351	WDR67
gene9352	L345_09357
gene9353	ZHX1
gene9354	ATAD2
gene9355	WDYHV1
gene9356	FBXO32
gene9357	XRN1
gene9358	ATR
gene9359	L345_09360
gene9360	L345_09361
gene9361	DLGAP1
gene9362	Tigd4
gene9363	ZNF73
gene9364	DHX30
gene9365	DHX30
gene9366	FAM46A
gene9367	L345_09368
gene9368	Abca3
gene9369	PXR1
gene9370	L345_09375
gene9371	L345_09369
gene9372	WFIKKN1
gene9373	Rab40c
gene9374	PIGQ
gene9375	Dpp10
gene9376	L345_09377
gene9377	PTN
gene9378	DGKI
gene9379	MSL1
gene9380	CASC3
gene9381	Rapgefl1
gene9382	CDC6
gene9383	NUDCD1
gene9384	ENY2
gene9385	EBAG9
gene9386	Sybu
gene9387	KCNV1
gene9388	MC4R
gene9389	L345_09390
gene9390	L345_09392
gene9391	DROSHA
gene9392	PLCG2
gene9393	SLC12A4
gene9394	L345_09397
gene9395	Dpep2
gene9396	GALR1
gene9397	NDST3
gene9398	DLC1
gene9399	MIPOL1
gene9400	L345_09401
gene9401	CEACAM5
gene9402	CEACAM4
gene9403	UBTF
gene9404	L345_09406
gene9405	SLC4A1
gene9406	L345_09409
gene9407	L345_09408
gene9408	L345_09407
gene9409	Srst
gene9410	HMGN5
gene9411	L345_09411
gene9412	Hmgn5
gene9413	L345_09414
gene9414	L345_09415
gene9415	DNMT1
gene9416	EIF3G
gene9417	L345_09420
gene9418	Ppan
gene9419	L345_09418
gene9420	L345_09421
gene9421	CLVS2
gene9422	TRDN
gene9423	NXT2
gene9424	Acsl4
gene9425	Mdfic
gene9426	MITF
gene9427	MTHFD2L
gene9428	EREG
gene9429	EXOC1
gene9430	CEP135
gene9431	L345_09432
gene9432	Nfib
gene9433	ERG
gene9434	COPA
gene9435	COPA
gene9436	Ncstn
gene9437	Ncstn
gene9438	NCSTN
gene9439	Rpgrip1
gene9440	NHLH1
gene9441	Fam71b
gene9442	dotA
gene9443	vangl2-a
gene9444	L345_09442
gene9445	L345_09446
gene9446	GRIK4
gene9447	TBCEL
gene9448	Tecta
gene9449	SC5DL
gene9450	PCDH1
gene9451	L345_09452
gene9452	Kat6a
gene9453	L345_09455
gene9454	Dlgap3
gene9455	PTAFR
gene9456	ZMYM6NB
gene9457	L345_09459
gene9458	SFPQ
gene9459	L345_09460
gene9460	MFSD10
gene9461	SRGAP2
gene9462	Cyfip2
gene9463	ADAM19
gene9464	SOX30
gene9465	THG1L
gene9466	L345_09470
gene9467	Lsm11
gene9468	L345_09466
gene9469	CLINT1
gene9470	L345_09472
gene9471	L345_09471
gene9472	L345_09473
gene9473	L345_09477
gene9474	HIST1H2AB
gene9475	RABGGTA
gene9476	TGM1
gene9477	GMPR2
gene9478	Tmem163
gene9479	MGAT5
gene9480	L345_09481
gene9481	CCDC39
gene9482	TTC14
gene9483	CPOX
gene9484	Gpr161
gene9485	TIPRL
gene9486	SFT2D2
gene9487	TBXT
gene9488	ZC3H18
gene9489	Rbm25
gene9490	WDR25
gene9491	WDR25
gene9492	WARS
gene9493	SLC25A47
gene9494	SLC25A29
gene9495	YY1
gene9496	ZNF804A
gene9497	L345_09499
gene9498	RBBP6
gene9499	L345_09498
gene9500	HRH2
gene9501	SPINK5
gene9502	ndrg4-b
gene9503	SETD6
gene9504	CNOT1
gene9505	RHBDL1
gene9506	nst1
gene9507	L345_09511
gene9508	STUB1
gene9509	Jmjd8
gene9510	Klhl10
gene9511	WDR24
gene9512	TOR1AIP1
gene9513	Tor1aip2
gene9514	Adamtsl2
gene9515	L345_09515
gene9516	L345_09517
gene9517	WDR7
gene9518	PLD1
gene9519	ARRDC4
gene9520	CNTN6
gene9521	OTUD1
gene9522	Swt1
gene9523	TRMT1L
gene9524	Rnf2
gene9525	FAM129A
gene9526	L345_09527
gene9527	ANKRD31
gene9528	GCNT4
gene9529	L345_09529
gene9530	NSA2
gene9531	GFM2
gene9532	HEXB
gene9533	Enc1
gene9534	L345_09536
gene9535	Plekho2
gene9536	CTNNA3
gene9537	CELSR1
gene9538	Col7a1
gene9539	HS3ST3A1
gene9540	DHX35
gene9541	FAM83D
gene9542	PPP1R16B
gene9543	ACTR5
gene9544	ADIG
gene9545	EPHX1
gene9546	Srp9
gene9547	Pdss2
gene9548	L345_09549
gene9549	ALX4
gene9550	EXT2
gene9551	L345_09552
gene9552	FUT2
gene9553	TNNT1
gene9554	PPP1R12C
gene9555	EPS8L2
gene9556	LENG9
gene9557	Leng8
gene9558	PPP1R3E
gene9559	Twsg1
gene9560	HOMEZ
gene9561	Slc7a8
gene9562	CEBPE
gene9563	L345_09569
gene9564	Acin1
gene9565	Cdh24
gene9566	PXR1
gene9567	lig1
gene9568	PSMB11
gene9569	Psmb5
gene9570	L345_09572
gene9571	L345_09568
gene9572	HAUS4
gene9573	Prmt5
gene9574	RBM23
gene9575	REM2
gene9576	Lrp10
gene9577	PRSS27
gene9578	VWA5A
gene9579	NDRG2
gene9580	TPPP2
gene9581	Hsf4
gene9582	DNAAF1
gene9583	HSDL1
gene9584	MBTPS1
gene9585	slc38a8
gene9586	NECAB2
gene9587	ARHGAP18
gene9588	LAMA2
gene9589	L345_09594
gene9590	OR10V1
gene9591	Stx3
gene9592	L345_09590
gene9593	MRPL16
gene9594	ZP3
gene9595	fzd1
gene9596	AKAP9
gene9597	AKAP9
gene9598	AKAP9
gene9599	AKAP9
gene9600	AKAP9
gene9601	CYP51A1
gene9602	L345_09603
gene9603	CBLN1
gene9604	CNOT6L
gene9605	MRPL1
gene9606	EML5
gene9607	ZC3H14
gene9608	Ptpn21
gene9609	L345_09610
gene9610	Myof
gene9611	ABCC3
gene9612	ABCC1
gene9613	KCNMA1
gene9614	KCNMA1
gene9615	NEO1
gene9616	Hcn4
gene9617	L345_09618
gene9618	L345_09619
gene9619	Has2
gene9620	pnp
gene9621	Tff2
gene9622	Abcg1
gene9623	UMODL1
gene9624	UMODL1
gene9625	ZNF295
gene9626	PRDM15
gene9627	L345_09628
gene9628	NDUFS1
gene9629	EEF1B2
gene9630	Gpr1
gene9631	L345_09630
gene9632	MLYCD
gene9633	HSBP1
gene9634	KCNG4
gene9635	WFDC1
gene9636	ATP2C2
gene9637	L345_09637
gene9638	L345_09638
gene9639	CLIC5
gene9640	Cntn5
gene9641	FCGBP
gene9642	ZAN
gene9643	FCGBP
gene9644	FCGBP
gene9645	FCGBP
gene9646	FCGBP
gene9647	FCGBP
gene9648	FCGBP
gene9649	FCGBP
gene9650	L345_09651
gene9651	CBX6
gene9652	CBX7
gene9653	PDGFB
gene9654	Rpl3
gene9655	L345_09652
gene9656	Tab1
gene9657	SEMA5B
gene9658	NAALADL2
gene9659	L345_09659
gene9660	L345_09660
gene9661	celf2
gene9662	C03B1.10
gene9663	CELF2
gene9664	L345_09665
gene9665	Gpr1
gene9666	CMLKR1
gene9667	HAS1
gene9668	L345_09669
gene9669	Klf12
gene9670	NLGN4X
gene9671	Rtl1
gene9672	EHBP1
gene9673	UBAP2
gene9674	DCAF12
gene9675	Dcaf12
gene9676	SLC5A12
gene9677	ANO3
gene9678	MUC15
gene9679	MYC
gene9680	INS
gene9681	IGF2
gene9682	KLHL32
gene9683	NDUFAF4
gene9684	GPR63
gene9685	FHL2
gene9686	FHL5
gene9687	UFL1
gene9688	CAPZA2
gene9689	MET
gene9690	L345_09691
gene9691	Igf1r
gene9692	Y66H1A.4
gene9693	DEPTOR
gene9694	COL14A1
gene9695	MRPL13
gene9696	MTBP
gene9697	SNTB1
gene9698	PET112
gene9699	L345_09699
gene9700	RUNX3
gene9701	Tbc1d10b
gene9702	TPPP2
gene9703	ARHGEF40
gene9704	Atf5
gene9705	lig1
gene9706	L345_09706
gene9707	L345_09711
gene9708	L345_09710
gene9709	ZNF202
gene9710	Vwa5a
gene9711	Il11ra1
gene9712	L345_09714
gene9713	RAP1GDS1
gene9714	TSPAN5
gene9715	ZFPM2
gene9716	GLG1
gene9717	RFWD3
gene9718	Mlkl
gene9719	TMEM170B
gene9720	ADTRP
gene9721	DERL2
gene9722	MIS12
gene9723	RPAIN
gene9724	NUP88
gene9725	RABEP1
gene9726	FOXP1
gene9727	FXYD1
gene9728	FXYD1
gene9729	MS4A4A
gene9730	Ms4a4d
gene9731	Tecta
gene9732	FCGBP
gene9733	L345_09734
gene9734	FCGBP
gene9735	L345_09736
gene9736	C6
gene9737	C7
gene9738	RPL37
gene9739	PRKAA1
gene9740	L345_09741
gene9741	L345_09742
gene9742	prpf38b
gene9743	TCHH
gene9744	notch1a
gene9745	B19.4
gene9746	Cpxm2
gene9747	L345_09748
gene9748	DPYD
gene9749	DIRC2
gene9750	Sema5b
gene9751	L345_09752
gene9752	L345_09754
gene9753	L345_09755
gene9754	CHRM3
gene9755	FGD2
gene9756	Mtch1
gene9757	PI16
gene9758	L345_09757
gene9759	L345_09761
gene9760	PKIA
gene9761	acpl2
gene9762	L345_09764
gene9763	L345_09763
gene9764	L345_09765
gene9765	KCNT2
gene9766	lamb4
gene9767	LAMB1
gene9768	Usp19
gene9769	GPR22
gene9770	Pim1
gene9771	L345_09767
gene9772	CAPN9
gene9773	L345_09775
gene9774	TTC13
gene9775	Arv1
gene9776	ACSL5
gene9777	ZDHHC6
gene9778	VTI1A
gene9779	NRP1
gene9780	KCNK5
gene9781	Srst
gene9782	Barx2
gene9783	Dnahc8
gene9784	Glo1
gene9785	BTBD9
gene9786	BTBD9
gene9787	ARHGAP19
gene9788	CHIT1
gene9789	JAKMIP3
gene9790	RRAGD
gene9791	UBE2J1
gene9792	GABRR2
gene9793	Gabrr1
gene9794	Pol
gene9795	CCDC59
gene9796	L345_09797
gene9797	JAG2
gene9798	ETAA1
gene9799	L345_09800
gene9800	L345_09802
gene9801	KRT80
gene9802	RD3
gene9803	L345_09803
gene9804	Ppp1r13b
gene9805	ZFYVE21
gene9806	L345_09808
gene9807	XRCC3
gene9808	KLC1
gene9809	BAG5
gene9810	KLF5
gene9811	L345_09812
gene9812	PIBF1
gene9813	L345_09814
gene9814	L345_09815
gene9815	DDX52
gene9816	SYNRG
gene9817	DUSP14
gene9818	TADA2A
gene9819	RRP15
gene9820	Ilf3
gene9821	COX4I1
gene9822	EPHA5
gene9823	Sfswap
gene9824	Bbs2
gene9825	L345_09827
gene9826	L345_09826
gene9827	POLR2C
gene9828	NUP93
gene9829	PXR1
gene9830	L345_09831
gene9831	DENND5B
gene9832	METTL20
gene9833	AMN1
gene9834	ABCC5
gene9835	VEZF1
gene9836	Cuedc1
gene9837	MRPS23
gene9838	PLEKHG7
gene9839	EEA1
gene9840	Nav3
gene9841	hspb11
gene9842	hsp30c
gene9843	Fkbp8
gene9844	L345_09842
gene9845	COL11A1
gene9846	IWS1
gene9847	MYO7B
gene9848	LIMS2
gene9849	Sod2
gene9850	Wtap
gene9851	Acat2
gene9852	TCP1
gene9853	PNLDC1
gene9854	L345_09858
gene9855	IGF2R
gene9856	SLC22A2
gene9857	SLC22A1
gene9858	LANCL1
gene9859	CPS1
gene9860	MEAF6
gene9861	TNC
gene9862	TNXB
gene9863	CYP21
gene9864	CENPA
gene9865	L345_09868
gene9866	ZSCAN2
gene9867	L345_09866
gene9868	FREM1
gene9869	CER1
gene9870	ZDHHC21
gene9871	PIRT
gene9872	Rnf222
gene9873	RPLP1
gene9874	FUT8
gene9875	ALK
gene9876	HS3ST1
gene9877	PLXNB2
gene9878	PXR1
gene9879	GUCY1B3
gene9880	tdo2
gene9881	ACCN5
gene9882	CTSO
gene9883	CPSF2
gene9884	NDUFB1
gene9885	ATXN3
gene9886	TRIP11
gene9887	TRIP11
gene9888	Sep-09
gene9889	RPL8
gene9890	Usp9x
gene9891	WDR89
gene9892	SGPP1
gene9893	SYNE2
gene9894	Sppl3
gene9895	SNRNP70
gene9896	ACADS
gene9897	ACADS
gene9898	Acads
gene9899	UNC119B
gene9900	MLEC
gene9901	CABP1
gene9902	POP5
gene9903	RNF10
gene9904	RNF10
gene9905	L345_09906
gene9906	FGFR3
gene9907	tacc3
gene9908	Slbp
gene9909	ctbp1
gene9910	L345_09911
gene9911	L345_09912
gene9912	RAD9B
gene9913	VPS29
gene9914	Kntc1
gene9915	KNTC1
gene9916	L345_09918
gene9917	KNTC1
gene9918	KNTC1
gene9919	rsrc2
gene9920	ZCCHC8
gene9921	ZCCHC8
gene9922	CLIP1
gene9923	L345_09924
gene9924	SLC35F1
gene9925	ZFP64
gene9926	sraP
gene9927	Tacc2
gene9928	L345_09929
gene9929	L345_09930
gene9930	ZNF385D
gene9931	myof
gene9932	AGPAT6
gene9933	Srst
gene9934	NKX6-3
gene9935	Ank1
gene9936	Ank1
gene9937	Syt2
gene9938	POLA1
gene9939	POLA1
gene9940	Pcyt1b
gene9941	LMO7
gene9942	L345_09942
gene9943	GABRB3
gene9944	IL10
gene9945	MAPKAPK2
gene9946	ACAC
gene9947	ACAC
gene9948	ACAC
gene9949	AATF
gene9950	LHX1
gene9951	L345_09952
gene9952	Pik3cg
gene9953	C03B1.10
gene9954	Cnksr2
gene9955	L345_09960
gene9956	APOOL
gene9957	Mep1b
gene9958	ZFX
gene9959	Pof1b
gene9960	L345_09962
gene9961	TYW5
gene9962	L345_09963
gene9963	TFAP2A
gene9964	chmp4c
gene9965	TSSK4
gene9966	TM9SF1
gene9967	Col8a1
gene9968	ST3GAL6
gene9969	DAP
gene9970	Ankrd33b
gene9971	STEAP2
gene9972	L345_09973
gene9973	ORC5
gene9974	L345_09975
gene9975	DIEXF
gene9976	MRPS10
gene9977	TRERF1
gene9978	L345_09979
gene9979	KITLG
gene9980	NNT
gene9981	SPATA5L1
gene9982	Nmes1
gene9983	Slc30a4
gene9984	PLDN
gene9985	SQRDL
gene9986	ITGB1BP3
gene9987	SPPL2A
gene9988	TRPM7
gene9989	Usp8
gene9990	GABPB1
gene9991	notch1
gene9992	Slco4c1
gene9993	Slc7a11
gene9994	INPP5F
gene9995	BAG3
gene9996	TIAL1
gene9997	RGS10
gene9998	GRK5
gene9999	KIF13B
gene10000	SOX14
gene10001	CLDN18
gene10002	Dzip1l
gene10003	A4GNT
gene10004	NDUFB8
gene10005	HIF1AN
gene10006	L345_10007
gene10007	L345_10008
gene10008	L345_10009
gene10009	L345_10012
gene10010	ZC3H13
gene10011	dotA
gene10012	L345_10013
gene10013	AIG1
gene10014	Adat2
gene10015	Pex3
gene10016	FUCA2
gene10017	L345_10016
gene10018	PHACTR2
gene10019	Scara3
gene10020	CLU
gene10021	L345_10023
gene10022	Stmn4
gene10023	POMC
gene10024	CCDC83
gene10025	Vma21
gene10026	HMGB1
gene10027	HMGB3
gene10028	L345_10028
gene10029	PARS2
gene10030	LSS
gene10031	TTC22
gene10032	L345_10032
gene10033	L345_10030
gene10034	Dhcr24
gene10035	Spns3
gene10036	UBE2G1
gene10037	L345_10037
gene10038	ADAMTS16
gene10039	L345_10040
gene10040	RAB30
gene10041	slu7
gene10042	PRCP
gene10043	COL19A1
gene10044	COL9A1
gene10045	CCHCR1
gene10046	TCF19
gene10047	POU5F1
gene10048	Npdc1
gene10049	L345_10054
gene10050	Acsm4
gene10051	Thumpd1
gene10052	eri2
gene10053	L345_10053
gene10054	L345_10050
gene10055	DCUN1D3
gene10056	LYRM1
gene10057	Dnah3
gene10058	DNAH3
gene10059	DNAH3
gene10060	Dnah3
gene10061	DNAH3
gene10062	Dnah3
gene10063	DNAH11
gene10064	IPMK
gene10065	Cisd1
gene10066	UBE2D1
gene10067	Tfam
gene10068	DNAJC9
gene10069	L345_10071
gene10070	ECD
gene10071	EPHB1
gene10072	Klhl28
gene10073	L345_10073
gene10074	PRPF39
gene10075	FKBP3
gene10076	FANCM
gene10077	CYLC2
gene10078	L345_10079
gene10079	Adcy8
gene10080	Proser1
gene10081	GEMIN2
gene10082	TRAPPC6B
gene10083	PNN
gene10084	FBXO33
gene10085	ZNF410
gene10086	L345_10088
gene10087	COQ6
gene10088	ENTPD5
gene10089	L345_10090
gene10090	Apob
gene10091	Tdrd6
gene10092	MSI2
gene10093	MYOZ1
gene10094	SYNPO2L
gene10095	Ddc
gene10096	IKZF1
gene10097	Dusp27
gene10098	Gpa33
gene10099	MAEL
gene10100	ILDR2
gene10101	L345_10102
gene10102	PRKCH
gene10103	Pcdh19
gene10104	L345_10106
gene10105	TMEM192
gene10106	KLHL2
gene10107	Tnfaip2
gene10108	Tnfaip2
gene10109	LBH
gene10110	L345_10113
gene10111	CDC42BPB
gene10112	AMN
gene10113	ISPD
gene10114	SOSTDC1
gene10115	LRRC72
gene10116	ANKMY2
gene10117	BZW2
gene10118	Tspan13
gene10119	Agr3
gene10120	KIT
gene10121	SYT16
gene10122	SNAPC1
gene10123	HIF1A
gene10124	L345_10125
gene10125	V-FMS
gene10126	HMGXB3
gene10127	NPY2R
gene10128	L345_10126
gene10129	L345_10130
gene10130	MME
gene10131	PLOD2
gene10132	PLSCR1
gene10133	L345_10137
gene10134	Cd274
gene10135	L345_10135
gene10136	L345_10136
gene10137	ERMP1
gene10138	DCTD
gene10139	EFHA1
gene10140	Zdhhc20
gene10141	MRP63
gene10142	SKA3
gene10143	SAP18
gene10144	PRPF40B
gene10145	PTGES3
gene10146	Naca
gene10147	PRIM1
gene10148	Asap1
gene10149	MDN1
gene10150	MDN1
gene10151	MDN1
gene10152	MDN1
gene10153	Lyrm2
gene10154	ANKRD6
gene10155	L345_10156
gene10156	Lama2
gene10157	SETD1A
gene10158	SETD1A
gene10159	SETD1A
gene10160	liph-a
gene10161	RBM11
gene10162	HSPA13
gene10163	SAMSN1
gene10164	L345_10165
gene10165	AXIN2
gene10166	Fgf13
gene10167	rsp-7
gene10168	nop58
gene10169	ZIC2
gene10170	L345_10176
gene10171	L345_10178
gene10172	L345_10180
gene10173	RBM25
gene10174	L345_10171
gene10175	Tm9sf2
gene10176	RBMX
gene10177	ARHGEF6
gene10178	CD40LG
gene10179	VGLL1
gene10180	L345_10182
gene10181	CACNA1A
gene10182	Pkp3
gene10183	CYLC2
gene10184	SFT2D1
gene10185	T
gene10186	SGCZ
gene10187	ECI2
gene10188	L345_10193
gene10189	L345_10191
gene10190	PRPF4B
gene10191	L345_10189
gene10192	SLC22A23
gene10193	VTI1B
gene10194	ARG2
gene10195	PIGH
gene10196	DUSP14
gene10197	Hirip3
gene10198	INO80E
gene10199	Doc2b
gene10200	L345_10201
gene10201	VWC2
gene10202	ZPBP
gene10203	L345_10204
gene10204	WDR37
gene10205	IDI1
gene10206	Gtpbp4
gene10207	exgD
gene10208	L345_10209
gene10209	PCDH9
gene10210	L345_10210
gene10211	Pdk3
gene10212	CNGB1
gene10213	Lrrc8a
gene10214	phyhd1
gene10215	DOLK
gene10216	NUP188
gene10217	SH3GLB2
gene10218	fam73b
gene10219	DOLPP1
gene10220	CRAT
gene10221	CRAT
gene10222	Rrbp1
gene10223	L345_10227
gene10224	EXOSC3
gene10225	DYDC2
gene10226	DYDC1
gene10227	Mat1a
gene10228	SFTPD
gene10229	L345_10230
gene10230	ANKRD28
gene10231	Btd
gene10232	HACL1
gene10233	SNX7
gene10234	CDK5RAP2
gene10235	L345_10236
gene10236	Atp2a1
gene10237	DNAH2
gene10238	L345_10239
gene10239	L345_10240
gene10240	NDST3
gene10241	dotA
gene10242	Rpgrip1
gene10243	SNX19
gene10244	HMGN5
gene10245	L345_10246
gene10246	ERICH1
gene10247	CALD1
gene10248	mrps15
gene10249	CNFN
gene10250	OSCP1
gene10251	LSM10
gene10252	STK40
gene10253	L345_10253
gene10254	THRAP3
gene10255	PLA2G4D
gene10256	traf3ip1
gene10257	FAM78A
gene10258	Ppapdc3
gene10259	PRRC2B
gene10260	Prrc2b
gene10261	PRRC2B
gene10262	Pomt1
gene10263	TNKS1BP1
gene10264	APLNR
gene10265	LRRC55
gene10266	Tmprss15
gene10267	CHODL
gene10268	TG
gene10269	Sla
gene10270	SEC23A
gene10271	Tsen34
gene10272	Grwd1
gene10273	GRIN2D
gene10274	Ednra
gene10275	TMEM184C
gene10276	PRMT10
gene10277	ARHGAP10
gene10278	CNTNAP2
gene10279	Cul1
gene10280	EZH2
gene10281	igf2bp3
gene10282	QNR-71
gene10283	NUPL2
gene10284	Klhl7
gene10285	Lama5
gene10286	DNTT
gene10287	CD82
gene10288	gnas
gene10289	TH1L
gene10290	CTSZ
gene10291	L345_10289
gene10292	ATP5E
gene10293	SLMO2
gene10294	aurkb-b
gene10295	L345_10296
gene10296	Baiap2l1
gene10297	I3
gene10298	Tecpr1
gene10299	Bhlha15
gene10300	Hace1
gene10301	Diras2
gene10302	L345_10303
gene10303	RNASEL
gene10304	Rgs8
gene10305	L345_10306
gene10306	ncm
gene10307	AKR1B1
gene10308	BPGM
gene10309	L345_10310
gene10310	TBX20
gene10311	FAM5C
gene10312	L345_10313
gene10313	RPL30
gene10314	znf395
gene10315	ZNF704
gene10316	Zbtb46
gene10317	GREM2
gene10318	FMN2
gene10319	PDLIM3
gene10320	SORBS2
gene10321	Srfbp1
gene10322	LOX
gene10323	ZNF474
gene10324	L345_10325
gene10325	L345_10326
gene10326	SPATA18
gene10327	SGCB
gene10328	DCUN1D4
gene10329	Ociad2
gene10330	Ociad1
gene10331	Sbno2
gene10332	GPX4
gene10333	POLRMT
gene10334	ADAMTS17
gene10335	CERS3
gene10336	LINS
gene10337	ASB7
gene10338	DLK1
gene10339	AMPH
gene10340	STARD3NL
gene10341	SCG3
gene10342	Scg3
gene10343	L345_10344
gene10344	AP4E1
gene10345	TNFAIP8L3
gene10346	CYP19A1
gene10347	Gldn
gene10348	DMXL2
gene10349	NBN
gene10350	OSGIN2
gene10351	RIPK2
gene10352	L345_10353
gene10353	L345_10355
gene10354	L345_10354
